Date,value
3/31/1968,1576.223529
4/30/1968,1559.3
5/31/1968,1633.458824
6/30/1968,1610.5
7/31/1968,1444.570588
8/31/1968,1290.9
9/30/1968,1206.458824
10/31/1968,1350.686207
11/30/1968,1366.475862
12/31/1968,1437.32069
1/31/1969,1536.741379
2/28/1969,1611.327586
3/31/1969,1622.724138
4/30/1969,1648.537931
5/31/1969,1802.237931
6/30/1969,1995.331034
7/31/1969,1905.424138
8/31/1969,1758.506897
9/30/1969,1659.665517
10/31/1969,1361.872222
11/30/1969,1397.022222
12/31/1969,1409.877778
1/31/1970,1441.338889
2/28/1970,1545.55
3/31/1970,1599.361111
4/30/1970,1641.111111
5/31/1970,1760.388889
6/30/1970,1915.755556
7/31/1970,1800.011111
8/31/1970,1651.894444
9/30/1970,1561.988889
10/31/1970,1330.566667
11/30/1970,1345.006667
12/31/1970,1341.086667
1/31/1971,1345.393333
2/28/1971,1435.926667
3/31/1971,1500.02
4/30/1971,1535.153333
5/31/1971,1663.246667
6/30/1971,1757.933333
7/31/1971,1630.34
8/31/1971,1486.386667
9/30/1971,1400.713333
10/31/1971,1456.541176
11/30/1971,1461.741176
12/31/1971,1463.523529
1/31/1972,1463.182353
2/29/1972,1527.347059
3/31/1972,1576.223529
4/30/1972,1559.3
5/31/1972,1633.458824
6/30/1972,1610.5
7/31/1972,1444.570588
8/31/1972,1290.9
9/30/1972,1206.458824
10/31/1972,1361.872222
11/30/1972,1397.022222
12/31/1972,1409.877778
1/31/1973,1441.338889
2/28/1973,1545.55
3/31/1973,1599.361111
4/30/1973,1641.111111
5/31/1973,1760.388889
6/30/1973,1915.755556
7/31/1973,1800.011111
8/31/1973,1651.894444
9/30/1973,1561.988889
10/31/1973,1350.686207
11/30/1973,1366.475862
12/31/1973,1437.32069
1/31/1974,1536.741379
2/28/1974,1611.327586
3/31/1974,1622.724138
4/30/1974,1648.537931
5/31/1974,1802.237931
6/30/1974,1995.331034
7/31/1974,1905.424138
8/31/1974,1758.506897
9/30/1974,1659.665517
10/31/1974,1350.686207
11/30/1974,1366.475862
12/31/1974,1437.32069
1/31/1975,1536.741379
2/28/1975,1611.327586
3/31/1975,1622.724138
4/30/1975,1648.537931
5/31/1975,1802.237931
6/30/1975,1995.331034
7/31/1975,1905.424138
8/31/1975,1758.506897
9/30/1975,1659.665517
10/31/1975,1088.590909
11/30/1975,1085.590909
12/31/1975,1077.554545
1/31/1976,1059.245455
2/29/1976,1079.290909
3/31/1976,1092.072727
4/30/1976,1045.872727
5/31/1976,1084.8
6/30/1976,1051.595455
7/31/1976,929.7681818
8/31/1976,816.6090909
9/30/1976,751.4909091
10/31/1976,1088.590909
11/30/1976,1085.590909
12/31/1976,1077.554545
1/31/1977,1059.245455
2/28/1977,1079.290909
3/31/1977,1092.072727
4/30/1977,1045.872727
5/31/1977,1084.8
6/30/1977,1051.595455
7/31/1977,929.7681818
8/31/1977,816.6090909
9/30/1977,751.4909091
10/31/1977,1350.686207
11/30/1977,1366.475862
12/31/1977,1437.32069
1/31/1978,1536.741379
2/28/1978,1611.327586
3/31/1978,1622.724138
4/30/1978,1648.537931
5/31/1978,1802.237931
6/30/1978,1995.331034
7/31/1978,1905.424138
8/31/1978,1758.506897
9/30/1978,1659.665517
10/31/1978,1361.872222
11/30/1978,1397.022222
12/31/1978,1409.877778
1/31/1979,1441.338889
2/28/1979,1545.55
3/31/1979,1599.361111
4/30/1979,1641.111111
5/31/1979,1760.388889
6/30/1979,1915.755556
7/31/1979,1800.011111
8/31/1979,1651.894444
9/30/1979,1561.988889
10/31/1979,1350.686207
11/30/1979,1366.475862
12/31/1979,1437.32069
1/31/1980,1536.741379
2/29/1980,1611.327586
3/31/1980,1622.724138
4/30/1980,1648.537931
5/31/1980,1802.237931
6/30/1980,1995.331034
7/31/1980,1905.424138
8/31/1980,1758.506897
9/30/1980,1659.665517
10/31/1980,1456.541176
11/30/1980,1461.741176
12/31/1980,1463.523529
1/31/1981,1463.182353
2/28/1981,1527.347059
3/31/1981,1576.223529
4/30/1981,1559.3
5/31/1981,1633.458824
6/30/1981,1610.5
7/31/1981,1444.570588
8/31/1981,1290.9
9/30/1981,1206.458824
10/31/1981,1350.686207
11/30/1981,1366.475862
12/31/1981,1437.32069
1/31/1982,1536.741379
2/28/1982,1611.327586
3/31/1982,1622.724138
4/30/1982,1648.537931
5/31/1982,1802.237931
6/30/1982,1995.331034
7/31/1982,1905.424138
8/31/1982,1758.506897
9/30/1982,1659.665517
10/31/1982,1350.686207
11/30/1982,1366.475862
12/31/1982,1437.32069
1/31/1983,1536.741379
2/28/1983,1611.327586
3/31/1983,1622.724138
4/30/1983,1648.537931
5/31/1983,1802.237931
6/30/1983,1995.331034
7/31/1983,1905.424138
8/31/1983,1758.506897
9/30/1983,1659.665517
10/31/1983,1361.872222
11/30/1983,1397.022222
12/31/1983,1409.877778
1/31/1984,1441.338889
2/29/1984,1545.55
3/31/1984,1599.361111
4/30/1984,1641.111111
5/31/1984,1760.388889
6/30/1984,1915.755556
7/31/1984,1800.011111
8/31/1984,1651.894444
9/30/1984,1561.988889
10/31/1984,1456.541176
11/30/1984,1461.741176
12/31/1984,1463.523529
1/31/1985,1463.182353
2/28/1985,1527.347059
3/31/1985,1576.223529
4/30/1985,1559.3
5/31/1985,1633.458824
6/30/1985,1610.5
7/31/1985,1444.570588
8/31/1985,1290.9
9/30/1985,1206.458824
10/31/1985,1350.686207
11/30/1985,1366.475862
12/31/1985,1437.32069
1/31/1986,1536.741379
2/28/1986,1611.327586
3/31/1986,1622.724138
4/30/1986,1648.537931
5/31/1986,1802.237931
6/30/1986,1995.331034
7/31/1986,1905.424138
8/31/1986,1758.506897
9/30/1986,1659.665517
10/31/1986,1088.590909
11/30/1986,1085.590909
12/31/1986,1077.554545
1/31/1987,1059.245455
2/28/1987,1079.290909
3/31/1987,1092.072727
4/30/1987,1045.872727
5/31/1987,1084.8
6/30/1987,1051.595455
7/31/1987,929.7681818
8/31/1987,816.6090909
9/30/1987,751.4909091
10/31/1987,1088.590909
11/30/1987,1085.590909
12/31/1987,1077.554545
1/31/1988,1059.245455
2/29/1988,1079.290909
3/31/1988,1092.072727
4/30/1988,1045.872727
5/31/1988,1084.8
6/30/1988,1051.595455
7/31/1988,929.7681818
8/31/1988,816.6090909
9/30/1988,751.4909091
10/31/1988,1088.590909
11/30/1988,1085.590909
12/31/1988,1077.554545
1/31/1989,1059.245455
2/28/1989,1079.290909
3/31/1989,1092.072727
4/30/1989,1045.872727
5/31/1989,1084.8
6/30/1989,1051.595455
7/31/1989,929.7681818
8/31/1989,816.6090909
9/30/1989,751.4909091
10/31/1989,1088.590909
11/30/1989,1085.590909
12/31/1989,1077.554545
1/31/1990,1059.245455
2/28/1990,1079.290909
3/31/1990,1092.072727
4/30/1990,1045.872727
5/31/1990,1084.8
6/30/1990,1051.595455
7/31/1990,929.7681818
8/31/1990,816.6090909
9/30/1990,751.4909091
10/31/1990,1088.590909
11/30/1990,1085.590909
12/31/1990,1077.554545
1/31/1991,1059.245455
2/28/1991,1079.290909
3/31/1991,1092.072727
4/30/1991,1045.872727
5/31/1991,1084.8
6/30/1991,1051.595455
7/31/1991,929.7681818
8/31/1991,816.6090909
9/30/1991,751.4909091
10/31/1991,1088.590909
11/30/1991,1085.590909
12/31/1991,1077.554545
1/31/1992,1059.245455
2/29/1992,1079.290909
3/31/1992,1092.072727
4/30/1992,1045.872727
5/31/1992,1084.8
6/30/1992,1051.595455
7/31/1992,929.7681818
8/31/1992,816.6090909
9/30/1992,751.4909091
10/31/1992,1350.686207
11/30/1992,1366.475862
12/31/1992,1437.32069
1/31/1993,1536.741379
2/28/1993,1611.327586
3/31/1993,1622.724138
4/30/1993,1648.537931
5/31/1993,1802.237931
6/30/1993,1995.331034
7/31/1993,1905.424138
8/31/1993,1758.506897
9/30/1993,1659.665517
10/31/1993,1088.590909
11/30/1993,1085.590909
12/31/1993,1077.554545
1/31/1994,1059.245455
2/28/1994,1079.290909
3/31/1994,1092.072727
4/30/1994,1045.872727
5/31/1994,1084.8
6/30/1994,1051.595455
7/31/1994,929.7681818
8/31/1994,816.6090909
9/30/1994,751.4909091
10/31/1994,1350.686207
11/30/1994,1366.475862
12/31/1994,1437.32069
1/31/1995,1536.741379
2/28/1995,1611.327586
3/31/1995,1622.724138
4/30/1995,1648.537931
5/31/1995,1802.237931
6/30/1995,1995.331034
7/31/1995,1905.424138
8/31/1995,1758.506897
9/30/1995,1659.665517
10/31/1995,1350.686207
11/30/1995,1366.475862
12/31/1995,1437.32069
1/31/1996,1536.741379
2/29/1996,1611.327586
3/31/1996,1622.724138
4/30/1996,1648.537931
5/31/1996,1802.237931
6/30/1996,1995.331034
